Volatility 3 Framework 2.4.1

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xd28eb3869080	175	-	N/A	False	2022-05-19 16:48:58.000000 	N/A	Disabled
136	4	Registry	0xd28eb39cc040	4	-	N/A	False	2022-05-19 16:48:56.000000 	N/A	Disabled
364	4	smss.exe	0xd28eb592a0c0	2	-	N/A	False	2022-05-19 16:48:58.000000 	N/A	Disabled
456	444	csrss.exe	0xd28eb94d4140	12	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
532	444	wininit.exe	0xd28eba2bb080	1	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
548	524	csrss.exe	0xd28eba2c9440	14	-	1	False	2022-05-19 16:49:01.000000 	N/A	Disabled
636	524	winlogon.exe	0xd28eba2ed240	5	-	1	False	2022-05-19 16:49:01.000000 	N/A	Disabled
680	532	services.exe	0xd28eba311080	9	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
688	532	lsass.exe	0xd28eba3230c0	9	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
820	680	svchost.exe	0xd28eba3a30c0	1	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
844	532	fontdrvhost.ex	0xd28eba3a9080	5	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
852	636	fontdrvhost.ex	0xd28eba3ac080	5	-	1	False	2022-05-19 16:49:01.000000 	N/A	Disabled
860	680	svchost.exe	0xd28eba3aa080	22	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
972	680	svchost.exe	0xd28eba3f1240	17	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
1016	680	svchost.exe	0xd28ebaa52080	5	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
404	636	dwm.exe	0xd28ebaaab080	23	-	1	False	2022-05-19 16:49:01.000000 	N/A	Disabled
396	680	svchost.exe	0xd28ebab10080	3	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
1112	680	svchost.exe	0xd28ebab42080	5	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
1120	680	svchost.exe	0xd28ebab6a0c0	6	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
1168	680	svchost.exe	0xd28ebab76080	16	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
1184	680	svchost.exe	0xd28ebab950c0	9	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
1272	680	svchost.exe	0xd28ebabe6080	2	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
1352	680	svchost.exe	0xd28ebabde080	7	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
1380	680	svchost.exe	0xd28ebac63080	10	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
1448	680	svchost.exe	0xd28ebac7f080	16	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
1536	680	svchost.exe	0xd28ebacef080	10	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
1604	680	VBoxService.ex	0xd28ebad19080	11	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
1680	680	svchost.exe	0xd28ebad31080	17	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
1780	680	svchost.exe	0xd28ebade3080	14	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
1804	680	svchost.exe	0xd28ebadee080	8	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
1812	680	svchost.exe	0xd28ebadeb080	9	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
1820	680	svchost.exe	0xd28ebadf1080	7	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
1956	680	svchost.exe	0xd28ebae32080	16	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
1964	4	MemCompression	0xd28ebae47080	42	-	N/A	False	2022-05-19 16:49:01.000000 	N/A	Disabled
2032	680	svchost.exe	0xd28ebae74080	9	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
1892	680	svchost.exe	0xd28eb38c1080	2	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
2056	680	svchost.exe	0xd28eb38cc080	10	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
2168	680	svchost.exe	0xd28eb38b4080	7	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
2288	680	svchost.exe	0xd28eb38db080	14	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
2296	680	svchost.exe	0xd28eb38d7080	3	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
2336	680	svchost.exe	0xd28ebaf3b080	8	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
2484	680	spoolsv.exe	0xd28ebaf79080	9	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
2508	680	svchost.exe	0xd28eb3928080	19	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
2556	680	svchost.exe	0xd28ebb032080	3	-	0	False	2022-05-19 16:49:01.000000 	N/A	Disabled
