Volatility 3 Framework 2.4.1

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime

4	0	System	0x9082a7082040	177	-	N/A	False	2023-02-21 12:49:45.000000 	N/A
* 136	4	Registry	0x9082a71c2040	4	-	N/A	False	2023-02-21 12:49:44.000000 	N/A
* 360	4	smss.exe	0x9082ab4d80c0	2	-	N/A	False	2023-02-21 12:49:45.000000 	N/A
* 1992	4	MemCompression	0x9082a70f8040	18	-	N/A	False	2023-02-21 12:49:48.000000 	N/A
464	456	csrss.exe	0x9082ad4ca400	11	-	0	False	2023-02-21 12:49:48.000000 	N/A
540	456	wininit.exe	0x9082ad5a8080	1	-	0	False	2023-02-21 12:49:48.000000 	N/A
* 688	540	services.exe	0x9082ae210080	6	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 1152	688	svchost.exe	0x9082ae5340c0	4	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 1280	688	svchost.exe	0x9082ae56d080	2	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 2948	688	ruby.exe	0x9082ae9d1080	9	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 3080	688	svchost.exe	0x9082aeade080	2	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 4872	688	svchost.exe	0x9082aef1d080	4	-	0	False	2023-02-21 12:50:24.000000 	N/A
** 8	688	svchost.exe	0x9082b2524080	4	-	0	False	2023-02-21 13:52:54.000000 	N/A
** 1548	688	svchost.exe	0x9082ae687080	6	-	0	False	2023-02-21 12:49:48.000000 	N/A
*** 4612	1548	sihost.exe	0x9082aee3e080	11	-	1	False	2023-02-21 12:50:24.000000 	N/A
** 2060	688	svchost.exe	0x9082a7106080	2	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 2316	688	svchost.exe	0x9082ae8ae0c0	3	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 2956	688	svchost.exe	0x9082aea090c0	16	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 4108	688	svchost.exe	0x9082aeef9080	5	-	0	False	2023-02-21 12:50:24.000000 	N/A
** 1676	688	PSEXESVC.exe	0x9082afc26540	3	-	0	True	2023-02-21 12:53:34.000000 	N/A
** 2068	688	svchost.exe	0x9082a7109080	6	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 2196	688	svchost.exe	0x9082a70d7080	5	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 2324	688	svchost.exe	0x9082ae8b3080	4	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 2580	688	svchost.exe	0x9082ae984080	3	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 2708	688	svchost.exe	0x9082ae30c080	4	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 2964	688	svchost.exe	0x9082ae9ca080	6	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 1052	688	svchost.exe	0x9082ae4ca080	3	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 2972	688	wlms.exe	0x9082aea0f080	2	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 1696	688	svchost.exe	0x9082ae66d080	7	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 1440	688	svchost.exe	0x9082a7124080	2	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 5024	688	svchost.exe	0x9082af654540	4	-	0	False	2023-02-21 12:50:55.000000 	N/A
** 4384	688	SgrmBroker.exe	0x9082aeec2080	3	-	0	False	2023-02-21 12:51:14.000000 	N/A
** 2980	688	svchost.exe	0x9082ae9c9080	6	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 2424	688	svchost.exe	0x9082ab221080	2	-	0	False	2023-02-21 12:54:19.000000 	N/A
** 6688	688	svchost.exe	0x9082afc48540	3	-	0	False	2023-02-21 12:55:17.000000 	N/A
** 6520	688	svchost.exe	0x9082a7d21080	1	-	0	False	2023-02-21 12:55:20.000000 	N/A
** 1960	688	svchost.exe	0x9082ae7d3080	9	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 2984	688	svchost.exe	0x9082ae9d5080	1	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 5800	688	svchost.exe	0x9082af0f2080	1	-	0	False	2023-02-21 12:51:14.000000 	N/A
** 1196	688	svchost.exe	0x9082ae53d080	7	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 684	688	svchost.exe	0x9082afa17080	4	-	0	False	2023-02-21 13:36:03.000000 	N/A
** 1204	688	svchost.exe	0x9082ae542080	8	-	0	False	2023-02-21 12:49:48.000000 	N/A
*** 4224	1204	taskhostw.exe	0x9082af347080	8	-	1	False	2023-02-21 12:50:24.000000 	N/A
*** 916	1204	cmd.exe	0x9082af769080	1	-	0	False	2023-02-21 12:51:14.000000 	N/A
**** 992	916	conhost.exe	0x9082af360080	4	-	0	False	2023-02-21 12:51:14.000000 	N/A
*** 4764	1204	GoogleUpdate.e	0x9082aefa2080	4	-	0	True	2023-02-21 12:50:24.000000 	N/A
*** 2052	1204	cmd.exe	0x9082ae488080	1	-	0	False	2023-02-21 12:59:55.000000 	N/A
**** 6324	2052	conhost.exe	0x9082ae4c7080	4	-	0	False	2023-02-21 12:59:55.000000 	N/A
** 1460	688	svchost.exe	0x9082ae63a080	5	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 2740	688	svchost.exe	0x9082aead90c0	5	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 1848	688	svchost.exe	0x9082ae76e080	6	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 3896	688	svchost.exe	0x9082aee4f080	6	-	0	False	2023-02-21 12:49:49.000000 	N/A
** 832	688	svchost.exe	0x9082ae374080	1	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 1856	688	svchost.exe	0x9082ae772080	3	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 2368	688	svchost.exe	0x9082ae8ca080	2	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 1216	688	SecurityHealth	0x9082ae690080	6	-	0	False	2023-02-21 12:53:12.000000 	N/A
** 4676	688	svchost.exe	0x9082af190540	3	-	1	False	2023-02-21 12:50:24.000000 	N/A
** 5700	688	svchost.exe	0x9082afa402c0	1	-	1	False	2023-02-21 12:51:14.000000 	N/A
** 3908	688	svchost.exe	0x9082ad273080	9	-	0	False	2023-02-21 12:51:15.000000 	N/A
** 6724	688	svchost.exe	0x9082ad172080	0	-	0	False	2023-02-21 12:55:28.000000 	2023-02-21 12:56:09.000000 
** 2940	688	svchost.exe	0x9082ae9cd080	3	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 4808	688	svchost.exe	0x9082ae6ab080	9	-	0	False	2023-02-21 12:50:24.000000 	N/A
** 972	688	svchost.exe	0x9082ae43c500	12	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 1868	688	svchost.exe	0x9082ae770480	4	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 2508	688	spoolsv.exe	0x9082ae9590c0	7	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 2636	688	svchost.exe	0x9082ad4ae500	1	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 4940	688	svchost.exe	0x9082aef440c0	3	-	0	False	2023-02-21 12:50:24.000000 	N/A
*** 5032	4940	ctfmon.exe	0x9082ae983080	11	-	1	False	2023-02-21 12:50:24.000000 	N/A
** 5840	688	svchost.exe	0x9082aeed4080	7	-	0	False	2023-02-21 12:51:14.000000 	N/A
** 3788	688	svchost.exe	0x9082afa2c080	5	-	0	False	2023-02-21 12:51:14.000000 	N/A
** 5976	688	svchost.exe	0x9082af652540	6	-	0	False	2023-02-21 13:07:01.000000 	N/A
** 472	688	svchost.exe	0x9082b13692c0	4	-	0	False	2023-02-21 13:52:53.000000 	N/A
** 2788	688	svchost.exe	0x9082ae346080	4	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 1124	688	svchost.exe	0x9082acfa44c0	5	-	0	False	2023-02-21 13:52:55.000000 	N/A
** 1384	688	svchost.exe	0x9082ae5ce080	7	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 1768	688	svchost.exe	0x9082ae74c080	6	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 2536	688	svchost.exe	0x9082ae9550c0	10	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 4712	688	svchost.exe	0x9082aef7a500	4	-	1	False	2023-02-21 12:50:24.000000 	N/A
** 108	688	svchost.exe	0x9082ae3ba080	4	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 2796	688	svchost.exe	0x9082ad326500	3	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 4968	688	svchost.exe	0x9082aeed2080	7	-	0	False	2023-02-21 12:51:13.000000 	N/A
** 6380	688	svchost.exe	0x9082aeb35080	3	-	0	False	2023-02-21 13:49:10.000000 	N/A
** 1392	688	svchost.exe	0x9082ae5d2080	1	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 2928	688	svchost.exe	0x9082ae9cb080	11	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 884	688	svchost.exe	0x9082ae43e080	23	-	0	False	2023-02-21 12:49:48.000000 	N/A
*** 5280	884	RuntimeBroker.	0x9082af6a3080	42	-	1	False	2023-02-21 12:50:24.000000 	N/A
*** 6912	884	dllhost.exe	0x9082af2c9080	7	-	1	False	2023-02-21 12:52:32.000000 	N/A
*** 5764	884	RuntimeBroker.	0x9082af40f080	14	-	1	False	2023-02-21 12:50:29.000000 	N/A
*** 5316	884	RuntimeBroker.	0x9082af7f6080	5	-	1	False	2023-02-21 12:50:24.000000 	N/A
*** 6116	884	WindowsInterna	0x9082af4ec080	32	-	1	False	2023-02-21 12:50:32.000000 	N/A
*** 7148	884	ApplicationFra	0x9082ab2092c0	11	-	1	False	2023-02-21 13:52:53.000000 	N/A
*** 4272	884	SearchUI.exe	0x9082af5ce080	44	-	1	False	2023-02-21 12:50:24.000000 	N/A
*** 5876	884	dllhost.exe	0x9082afa14080	8	-	1	False	2023-02-21 12:50:30.000000 	N/A
*** 4532	884	WmiPrvSE.exe	0x9082af7a4080	4	-	0	False	2023-02-21 13:49:11.000000 	N/A
*** 4156	884	ShellExperienc	0x9082af46f080	21	-	1	False	2023-02-21 12:50:24.000000 	N/A
** 1140	688	svchost.exe	0x9082ae518080	1	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 3188	688	svchost.exe	0x9082aeb65080	11	-	0	False	2023-02-21 12:49:48.000000 	N/A
** 1780	688	svchost.exe	0x9082af390080	5	-	1	False	2023-02-21 12:50:24.000000 	N/A
** 2808	688	SearchIndexer.	0x9082af3cd080	94	-	0	False	2023-02-21 12:50:24.000000 	N/A
*** 6752	2808	SearchProtocol	0x9082ad4c1080	7	-	0	False	2023-02-21 13:49:19.000000 	N/A
*** 4352	2808	SearchFilterHo	0x9082b20cb2c0	3	-	0	False	2023-02-21 13:53:29.000000 	N/A
** 4984	688	svchost.exe	0x9082afce7080	5	-	0	False	2023-02-21 12:51:14.000000 	N/A
** 1660	688	VBoxService.ex	0x9082ae665080	11	-	0	False	2023-02-21 12:49:48.000000 	N/A
* 856	540	fontdrvhost.ex	0x9082ae38c080	5	-	0	False	2023-02-21 12:49:48.000000 	N/A
* 712	540	lsass.exe	0x9082ae238080	9	-	0	False	2023-02-21 12:49:48.000000 	N/A
560	532	csrss.exe	0x9082ad5b5400	12	-	1	False	2023-02-21 12:49:48.000000 	N/A
644	532	winlogon.exe	0x9082ad5e9240	6	-	1	False	2023-02-21 12:49:48.000000 	N/A
* 864	644	fontdrvhost.ex	0x9082ae43f080	5	-	1	False	2023-02-21 12:49:48.000000 	N/A
* 564	644	dwm.exe	0x9082ae47f080	25	-	1	False	2023-02-21 12:49:48.000000 	N/A
* 872	644	userinit.exe	0x9082af35d080	0	-	1	False	2023-02-21 12:50:24.000000 	2023-02-21 12:50:40.000000 
** 1072	872	explorer.exe	0x9082af368080	99	-	1	False	2023-02-21 12:50:24.000000 	N/A
*** 6464	1072	cmd.exe	0x9082acfa5540	3	-	1	False	2023-02-21 13:54:33.000000 	N/A
**** 5648	6464	conhost.exe	0x9082afa16080	7	-	1	False	2023-02-21 13:54:33.000000 	N/A
**** 1488	6464	winpmem_mini_x	0x9082b15a62c0	4	-	1	False	2023-02-21 13:54:48.000000 	N/A
