Volatility 3 Framework 2.4.1

Certificate path	Certificate section	Certificate ID	Certificate name

Software\Microsoft\SystemCertificates	CA	90E98BB05040666936B20E23F209B10C3CBC4D96	-
Software\Microsoft\SystemCertificates	Root	ProtectedRoots	-
Microsoft\SystemCertificates	AuthRoot	AutoUpdate	-
Microsoft\SystemCertificates	AuthRoot	AutoUpdate	-
Microsoft\SystemCertificates	AuthRoot	AutoUpdate	-
Microsoft\SystemCertificates	AuthRoot	AutoUpdate	-
Microsoft\SystemCertificates	AuthRoot	AutoUpdate	-
Microsoft\SystemCertificates	AuthRoot	AutoUpdate	-
Microsoft\SystemCertificates	AuthRoot	AutoUpdate	-
Microsoft\SystemCertificates	AuthRoot	AutoUpdate	-
Microsoft\SystemCertificates	AuthRoot	0563B8630D62D75ABBC8AB1E4BDFB5A899B24D43	DigiCert
Microsoft\SystemCertificates	AuthRoot	07E032E020B72C3F192F0628A2593A19A70F069E	Certum Trusted Network CA
Microsoft\SystemCertificates	AuthRoot	2796BAE63F1801E277261BA0D77770028F20EEE4	Go Daddy Class 2 Certification Authority
Microsoft\SystemCertificates	AuthRoot	2B8F1B57330DBBA2D07A6C51F70EE90DDAB9AD8E	Sectigo
Microsoft\SystemCertificates	AuthRoot	3679CA35668772304D30A5FB873B0FA77BB70D54	VeriSign Universal Root Certification Authority
Microsoft\SystemCertificates	AuthRoot	3E2BF7F2031B96F38CE6C4D8A85D3E2D58476A0F	StartCom Certification Authority
Microsoft\SystemCertificates	AuthRoot	4EB6D578499B1CCF5F581EAD56BE3D9B6744A5E5	VeriSign
Microsoft\SystemCertificates	AuthRoot	51501FBFCE69189D609CFAF140C576755DCC1FDF	Hotspot 2.0 Trust Root CA - 03
Microsoft\SystemCertificates	AuthRoot	5FB7EE0633E259DBAD0C4C9AE6D38F1A61C7DC25	DigiCert
Microsoft\SystemCertificates	AuthRoot	742C3192E607E424EB4549542BE1BBC53E6174E2	VeriSign Class 3 Public Primary CA
Microsoft\SystemCertificates	AuthRoot	A8985D3A65E5E5C4B2D7D66D40C6DD2FB19C5436	DigiCert
Microsoft\SystemCertificates	AuthRoot	AD7E1C28B064EF8F6003402014C3D0E3370EB58A	Starfield Class 2 Certification Authority
Microsoft\SystemCertificates	AuthRoot	B1BC968BD4F49D622AA89A81F2150152A41D829C	GlobalSign Root CA - R1
Microsoft\SystemCertificates	AuthRoot	CABD2A79A1076A31F21D253635CB039D4329A5E8	ISRG Root X1
Microsoft\SystemCertificates	AuthRoot	D1EB23A46D17D68FD92564C2F1F1601764D8E349	Sectigo (AAA)
Microsoft\SystemCertificates	AuthRoot	D4DE20D05E66FC53FE1A50882C78DB2852CAE474	DigiCert Baltimore Root
Microsoft\SystemCertificates	AuthRoot	D69B561148F01C77C54578C10926DF5B856976AD	GlobalSign Root CA - R3
Microsoft\SystemCertificates	AuthRoot	DAC9024F54D8F6DF94935FB1732638CA6AD77C13	DST Root CA X3
Microsoft\SystemCertificates	AuthRoot	DDFB16CD4931C973A2037D3FC83A4D7D775D05E4	DigiCert Trusted Root G4
Microsoft\SystemCertificates	AuthRoot	DF3C24F9BFD666761B268073FE06D1CC8D4F82A4	DigiCert Global Root G2
Microsoft\SystemCertificates	AuthRoot	F18B538D1BE903B6A6F056435B171589CAF36BF2	thawte Primary Root CA - G3
