Volatility 3 Framework 2.4.1

PID	Process	Block	Variable	Value

360	smss.exe	0x2b8458028f0	Path	C:\Windows\System32
360	smss.exe	0x2b8458028f0	SystemDrive	C:
360	smss.exe	0x2b8458028f0	SystemRoot	C:\Windows
452	csrss.exe	0x214eea033a0	ChocolateyInstall	C:\ProgramData\chocolatey
452	csrss.exe	0x214eea033a0	ChocolateyToolsLocation	C:\Tools
452	csrss.exe	0x214eea033a0	ComSpec	C:\Windows\system32\cmd.exe
452	csrss.exe	0x214eea033a0	DriverData	C:\Windows\System32\Drivers\DriverData
452	csrss.exe	0x214eea033a0	JAVA_HOME	C:\Program Files\OpenJDK\openjdk-11.0.15_10
452	csrss.exe	0x214eea033a0	NUMBER_OF_PROCESSORS	8
452	csrss.exe	0x214eea033a0	OS	Windows_NT
452	csrss.exe	0x214eea033a0	Path	C:\Program Files\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Python37\Scripts\;C:\Python37\;C:\Python27\;C:\Python27\Scripts;C:\ProgramData\Boxstarter;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\ProgramData\chocolatey\bin;C:\Program Files\Puppet Labs\Puppet\bin;C:\Program Files\OpenJDK\openjdk-11.0.15_10\bin;C:\Program Files\nodejs\;C:\Program Files\Microsoft VS Code\bin
452	csrss.exe	0x214eea033a0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
452	csrss.exe	0x214eea033a0	PROCESSOR_ARCHITECTURE	AMD64
452	csrss.exe	0x214eea033a0	PROCESSOR_IDENTIFIER	AMD64 Family 23 Model 113 Stepping 0, AuthenticAMD
452	csrss.exe	0x214eea033a0	PROCESSOR_LEVEL	23
452	csrss.exe	0x214eea033a0	PROCESSOR_REVISION	7100
452	csrss.exe	0x214eea033a0	PSModulePath	C:\ProgramData\FEVM;C:\ProgramData\Boxstarter;C:\Program Files\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
452	csrss.exe	0x214eea033a0	RAW_TOOLS_DIR	C:\Tools
452	csrss.exe	0x214eea033a0	SystemDrive	C:
452	csrss.exe	0x214eea033a0	SystemRoot	C:\Windows
452	csrss.exe	0x214eea033a0	TEMP	C:\Windows\TEMP
452	csrss.exe	0x214eea033a0	TMP	C:\Windows\TEMP
452	csrss.exe	0x214eea033a0	TOOL_LIST_DIR	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\FLARE
452	csrss.exe	0x214eea033a0	TOOL_LIST_SHORTCUT	C:\Users\IEUser\Desktop\FLARE.lnk
452	csrss.exe	0x214eea033a0	USERNAME	SYSTEM
452	csrss.exe	0x214eea033a0	VM_COMMON_DIR	C:\ProgramData\FEVM
452	csrss.exe	0x214eea033a0	windir	C:\Windows
528	wininit.exe	0x285f4f51b90	ALLUSERSPROFILE	C:\ProgramData
528	wininit.exe	0x285f4f51b90	ChocolateyInstall	C:\ProgramData\chocolatey
528	wininit.exe	0x285f4f51b90	ChocolateyToolsLocation	C:\Tools
528	wininit.exe	0x285f4f51b90	CommonProgramFiles	C:\Program Files\Common Files
528	wininit.exe	0x285f4f51b90	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
528	wininit.exe	0x285f4f51b90	CommonProgramW6432	C:\Program Files\Common Files
528	wininit.exe	0x285f4f51b90	COMPUTERNAME	MSEDGEWIN10
528	wininit.exe	0x285f4f51b90	ComSpec	C:\Windows\system32\cmd.exe
528	wininit.exe	0x285f4f51b90	DriverData	C:\Windows\System32\Drivers\DriverData
528	wininit.exe	0x285f4f51b90	JAVA_HOME	C:\Program Files\OpenJDK\openjdk-11.0.15_10
528	wininit.exe	0x285f4f51b90	NUMBER_OF_PROCESSORS	8
528	wininit.exe	0x285f4f51b90	OS	Windows_NT
528	wininit.exe	0x285f4f51b90	Path	C:\Program Files\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Python37\Scripts\;C:\Python37\;C:\Python27\;C:\Python27\Scripts;C:\ProgramData\Boxstarter;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\ProgramData\chocolatey\bin;C:\Program Files\Puppet Labs\Puppet\bin;C:\Program Files\OpenJDK\openjdk-11.0.15_10\bin;C:\Program Files\nodejs\;C:\Program Files\Microsoft VS Code\bin
528	wininit.exe	0x285f4f51b90	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
528	wininit.exe	0x285f4f51b90	PROCESSOR_ARCHITECTURE	AMD64
528	wininit.exe	0x285f4f51b90	PROCESSOR_IDENTIFIER	AMD64 Family 23 Model 113 Stepping 0, AuthenticAMD
528	wininit.exe	0x285f4f51b90	PROCESSOR_LEVEL	23
528	wininit.exe	0x285f4f51b90	PROCESSOR_REVISION	7100
528	wininit.exe	0x285f4f51b90	ProgramData	C:\ProgramData
528	wininit.exe	0x285f4f51b90	ProgramFiles	C:\Program Files
528	wininit.exe	0x285f4f51b90	ProgramFiles(x86)	C:\Program Files (x86)
528	wininit.exe	0x285f4f51b90	ProgramW6432	C:\Program Files
528	wininit.exe	0x285f4f51b90	PSModulePath	C:\ProgramData\FEVM;C:\ProgramData\Boxstarter;C:\Program Files\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
528	wininit.exe	0x285f4f51b90	PUBLIC	C:\Users\Public
528	wininit.exe	0x285f4f51b90	RAW_TOOLS_DIR	C:\Tools
528	wininit.exe	0x285f4f51b90	SystemDrive	C:
528	wininit.exe	0x285f4f51b90	SystemRoot	C:\Windows
528	wininit.exe	0x285f4f51b90	TEMP	C:\Windows\TEMP
528	wininit.exe	0x285f4f51b90	TMP	C:\Windows\TEMP
528	wininit.exe	0x285f4f51b90	TOOL_LIST_DIR	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\FLARE
528	wininit.exe	0x285f4f51b90	TOOL_LIST_SHORTCUT	C:\Users\IEUser\Desktop\FLARE.lnk
528	wininit.exe	0x285f4f51b90	USERNAME	SYSTEM
528	wininit.exe	0x285f4f51b90	USERPROFILE	C:\Windows\system32\config\systemprofile
528	wininit.exe	0x285f4f51b90	VM_COMMON_DIR	C:\ProgramData\FEVM
528	wininit.exe	0x285f4f51b90	windir	C:\Windows
544	csrss.exe	0x2849c4033a0	ChocolateyInstall	C:\ProgramData\chocolatey
544	csrss.exe	0x2849c4033a0	ChocolateyToolsLocation	C:\Tools
544	csrss.exe	0x2849c4033a0	ComSpec	C:\Windows\system32\cmd.exe
544	csrss.exe	0x2849c4033a0	DriverData	C:\Windows\System32\Drivers\DriverData
544	csrss.exe	0x2849c4033a0	JAVA_HOME	C:\Program Files\OpenJDK\openjdk-11.0.15_10
544	csrss.exe	0x2849c4033a0	NUMBER_OF_PROCESSORS	8
544	csrss.exe	0x2849c4033a0	OS	Windows_NT
