Volatility 3 Framework 2.4.1

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xba87f687d040	170	-	N/A	False	2023-02-23 22:51:58.000000 	N/A	Disabled
136	4	Registry	0xba87f69cb040	4	-	N/A	False	2023-02-23 22:51:56.000000 	N/A	Disabled
360	4	smss.exe	0xba87f8dcc080	2	-	N/A	False	2023-02-23 22:51:58.000000 	N/A	Disabled
452	440	csrss.exe	0xba87fcbe0080	12	-	0	False	2023-02-23 22:51:59.000000 	N/A	Disabled
528	440	wininit.exe	0xba87fcdc2540	1	-	0	False	2023-02-23 22:51:59.000000 	N/A	Disabled
544	520	csrss.exe	0xba87fcdc9400	13	-	1	False	2023-02-23 22:51:59.000000 	N/A	Disabled
628	520	winlogon.exe	0xba87fda07240	3	-	1	False	2023-02-23 22:51:59.000000 	N/A	Disabled
672	528	services.exe	0xba87fda16080	7	-	0	False	2023-02-23 22:51:59.000000 	N/A	Disabled
680	528	lsass.exe	0xba87fda19080	8	-	0	False	2023-02-23 22:51:59.000000 	N/A	Disabled
816	672	svchost.exe	0xba87fda75540	1	-	0	False	2023-02-23 22:51:59.000000 	N/A	Disabled
840	528	fontdrvhost.ex	0xba87fda85540	5	-	0	False	2023-02-23 22:51:59.000000 	N/A	Disabled
848	628	fontdrvhost.ex	0xba87fda8b080	5	-	1	False	2023-02-23 22:51:59.000000 	N/A	Disabled
856	672	svchost.exe	0xba87fcde5540	11	-	0	False	2023-02-23 22:51:59.000000 	N/A	Disabled
956	672	svchost.exe	0xba87fdb1e240	11	-	0	False	2023-02-23 22:51:59.000000 	N/A	Disabled
1008	672	svchost.exe	0xba87fdb5b080	3	-	0	False	2023-02-23 22:51:59.000000 	N/A	Disabled
408	628	dwm.exe	0xba87fdabd540	20	-	1	False	2023-02-23 22:52:00.000000 	N/A	Disabled
836	672	svchost.exe	0xba87fdbfb240	5	-	0	False	2023-02-23 22:52:00.000000 	N/A	Disabled
1048	672	svchost.exe	0xba87fdc520c0	1	-	0	False	2023-02-23 22:52:00.000000 	N/A	Disabled
1056	672	svchost.exe	0xba87fdc57080	2	-	0	False	2023-02-23 22:52:00.000000 	N/A	Disabled
1164	672	svchost.exe	0xba87fdc692c0	2	-	0	False	2023-02-23 22:52:00.000000 	N/A	Disabled
1204	672	svchost.exe	0xba87fdc81080	9	-	0	False	2023-02-23 22:52:00.000000 	N/A	Disabled
1288	672	svchost.exe	0xba87fdd0f540	6	-	0	False	2023-02-23 22:52:00.000000 	N/A	Disabled
1376	672	svchost.exe	0xba87fdd690c0	7	-	0	False	2023-02-23 22:52:00.000000 	N/A	Disabled
1468	672	svchost.exe	0xba87fdd830c0	5	-	0	False	2023-02-23 22:52:00.000000 	N/A	Disabled
1496	672	VBoxService.ex	0xba87fddb7540	11	-	0	False	2023-02-23 22:52:00.000000 	N/A	Disabled
1532	672	svchost.exe	0xba87fddc1540	6	-	0	False	2023-02-23 22:52:00.000000 	N/A	Disabled
1540	672	svchost.exe	0xba87fddc5080	7	-	0	False	2023-02-23 22:52:00.000000 	N/A	Disabled
1664	672	svchost.exe	0xba87fde06080	3	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
1680	672	svchost.exe	0xba87fde08080	3	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
1696	672	svchost.exe	0xba87fde1f080	4	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
1780	672	svchost.exe	0xba87fdeb1080	7	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
1808	4	MemCompression	0xba87fdebb040	22	-	N/A	False	2023-02-23 14:52:01.000000 	N/A	Disabled
1896	672	svchost.exe	0xba87f684e080	2	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
1960	672	svchost.exe	0xba87f691a080	2	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
1968	672	svchost.exe	0xba87f691d080	7	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
1976	672	svchost.exe	0xba87f6919080	11	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
1636	672	svchost.exe	0xba87f6906080	5	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
2072	672	svchost.exe	0xba87f68b6080	11	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
2088	672	svchost.exe	0xba87f68ac080	3	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
2096	672	svchost.exe	0xba87f68d9080	5	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
2164	672	svchost.exe	0xba87fdfb7080	3	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
2228	672	svchost.exe	0xba87fdfeb080	6	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
2360	672	spoolsv.exe	0xba87fe0350c0	7	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
2408	672	svchost.exe	0xba87fe040080	12	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
2444	672	svchost.exe	0xba87fe06c080	7	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
2532	672	svchost.exe	0xba87fe0ce080	4	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
2540	672	svchost.exe	0xba87fdfed080	4	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
2676	672	ruby.exe	0xba87fe10d080	9	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
2684	672	svchost.exe	0xba87fe10a0c0	6	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
2692	672	svchost.exe	0xba87fe10c080	16	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
2700	672	svchost.exe	0xba87fe113080	3	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
2708	672	wlms.exe	0xba87fe117080	2	-	0	False	2023-02-23 14:52:01.000000 	N/A	Disabled
