Volatility 3 Framework 2.4.1

PID	Process	Args

4	System	Required memory at 0x20 is not valid (process exited?)
136	Registry	Required memory at 0x20 is not valid (process exited?)
360	smss.exe	\SystemRoot\System32\smss.exe
452	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
528	wininit.exe	wininit.exe
544	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
628	winlogon.exe	winlogon.exe
672	services.exe	C:\Windows\system32\services.exe
680	lsass.exe	C:\Windows\system32\lsass.exe
816	svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p -s PlugPlay
840	fontdrvhost.ex	"fontdrvhost.exe"
848	fontdrvhost.ex	"fontdrvhost.exe"
856	svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p
956	svchost.exe	C:\Windows\system32\svchost.exe -k RPCSS -p
1008	svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p -s LSM
408	dwm.exe	"dwm.exe"
836	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts
1048	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
1056	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
1164	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p
1204	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule
1288	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog
1376	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s ProfSvc
1468	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s nsi
1496	VBoxService.ex	C:\Windows\System32\VBoxService.exe
1532	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s UserManager
1540	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp
1664	svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain
1680	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p -s Themes
1696	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s EventSystem
1780	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s NlaSvc
1808	MemCompression	Required memory at 0x20 is not valid (process exited?)
1896	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s SENS
1960	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder
1968	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s FontCache
1976	svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s netprofm
1636	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2072	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p -s Dnscache
2088	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2096	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p
2164	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p -s ShellHWDetection
2228	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc
2360	spoolsv.exe	C:\Windows\System32\spoolsv.exe
2408	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p
2444	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation
2532	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s IKEEXT
2540	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p -s PolicyAgent
2676	ruby.exe	"C:\Program Files\Puppet Labs\Puppet\sys\ruby\bin\ruby.exe" -rubygems "C:\Program Files\Puppet Labs\Puppet\service\daemon.rb"
2684	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p -s CryptSvc
2692	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p -s DPS
2700	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TrkWks
2708	wlms.exe	C:\Windows\system32\wlms\wlms.exe
2716	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s SstpSvc
2724	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Winmgmt
