Volatility 3 Framework 2.4.1

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0xba87f6894ad0	UDPv4	0.0.0.0	500	*	0		2532	svchost.exe	2023-02-23 14:52:01.000000 
0xba87f81451a0	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1204	svchost.exe	2023-02-23 22:52:00.000000 
0xba87f81451a0	TCPv6	::	49666	::	0	LISTENING	1204	svchost.exe	2023-02-23 22:52:00.000000 
0xba87f81452f0	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	1288	svchost.exe	2023-02-23 22:52:00.000000 
0xba87f81452f0	TCPv6	::	49665	::	0	LISTENING	1288	svchost.exe	2023-02-23 22:52:00.000000 
0xba87f81456e0	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	1288	svchost.exe	2023-02-23 22:52:00.000000 
0xba87f8145830	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1204	svchost.exe	2023-02-23 22:52:00.000000 
0xba87f8146550	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	2360	spoolsv.exe	2023-02-23 14:52:01.000000 
0xba87f81751a0	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	2360	spoolsv.exe	2023-02-23 14:52:01.000000 
0xba87f81751a0	TCPv6	::	49667	::	0	LISTENING	2360	spoolsv.exe	2023-02-23 14:52:01.000000 
0xba87f81752f0	UDPv4	127.0.0.1	49664	*	0		2928	svchost.exe	2023-02-23 14:52:01.000000 
0xba87f868c520	TCPv4	10.0.0.4	50148	10.0.0.3	443	CLOSED	-	-	N/A
0xba87f86d76e0	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	528	wininit.exe	2023-02-23 22:51:59.000000 
0xba87f86d7980	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	956	svchost.exe	2023-02-23 22:51:59.000000 
0xba87f86d7980	TCPv6	::	135	::	0	LISTENING	956	svchost.exe	2023-02-23 22:51:59.000000 
0xba87f86d7d70	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	528	wininit.exe	2023-02-23 22:51:59.000000 
0xba87f86d7d70	TCPv6	::	49664	::	0	LISTENING	528	wininit.exe	2023-02-23 22:51:59.000000 
0xba87f86d8550	UDPv4	0.0.0.0	0	*	0		2532	svchost.exe	2023-02-23 14:52:01.000000 
0xba87f86d8550	UDPv6	::	0	*	0		2532	svchost.exe	2023-02-23 14:52:01.000000 
0xba87f86d8e80	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	956	svchost.exe	2023-02-23 22:51:59.000000 
0xba87f88fa1a0	TCPv4	0.0.0.0	49669	0.0.0.0	0	LISTENING	672	services.exe	2023-02-23 14:52:03.000000 
0xba87f88fa590	UDPv4	0.0.0.0	500	*	0		2532	svchost.exe	2023-02-23 14:52:01.000000 
0xba87f88fa590	UDPv6	::	500	*	0		2532	svchost.exe	2023-02-23 14:52:01.000000 
