Volatility 3 Framework 2.4.1

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime

4	0	System	0xba87f687d040	194	-	N/A	False	2023-02-23 22:51:58.000000 	N/A
* 136	4	Registry	0xba87f69cb040	4	-	N/A	False	2023-02-23 22:51:56.000000 	N/A
* 1808	4	MemCompression	0xba87fdebb040	22	-	N/A	False	2023-02-23 14:52:01.000000 	N/A
* 360	4	smss.exe	0xba87f8dcc080	2	-	N/A	False	2023-02-23 22:51:58.000000 	N/A
452	440	csrss.exe	0xba87fcbe0080	13	-	0	False	2023-02-23 22:51:59.000000 	N/A
528	440	wininit.exe	0xba87fcdc2540	1	-	0	False	2023-02-23 22:51:59.000000 	N/A
* 672	528	services.exe	0xba87fda16080	7	-	0	False	2023-02-23 22:51:59.000000 	N/A
** 4608	672	svchost.exe	0xba87fecf3540	1	-	0	False	2023-02-23 14:58:03.000000 	N/A
** 1540	672	svchost.exe	0xba87fddc5080	11	-	0	False	2023-02-23 22:52:00.000000 	N/A
** 1036	672	svchost.exe	0xba87fe753080	4	-	0	False	2023-02-23 14:52:07.000000 	N/A
** 1048	672	svchost.exe	0xba87fdc520c0	1	-	0	False	2023-02-23 22:52:00.000000 	N/A
** 2072	672	svchost.exe	0xba87f68b6080	12	-	0	False	2023-02-23 14:52:01.000000 	N/A
** 6684	672	svchost.exe	0xba87ff0e7080	18	-	0	False	2023-02-28 16:31:27.000000 	N/A
** 1056	672	svchost.exe	0xba87fdc57080	1	-	0	False	2023-02-23 22:52:00.000000 	N/A
** 2088	672	svchost.exe	0xba87f68ac080	3	-	0	False	2023-02-23 14:52:01.000000 	N/A
** 2096	672	svchost.exe	0xba87f68d9080	4	-	0	False	2023-02-23 14:52:01.000000 	N/A
** 5680	672	svchost.exe	0xba87ff0e0080	2	-	0	False	2023-02-27 13:05:02.000000 	N/A
** 3120	672	svchost.exe	0xba87fc68e080	3	-	0	False	2023-02-28 16:31:26.000000 	N/A
** 1092	672	svchost.exe	0xba87feea1080	8	-	0	False	2023-02-23 14:54:04.000000 	N/A
** 4168	672	svchost.exe	0xba87fda6b540	5	-	0	False	2023-02-23 14:52:07.000000 	N/A
** 1636	672	svchost.exe	0xba87f6906080	5	-	0	False	2023-02-23 14:52:01.000000 	N/A
** 2164	672	svchost.exe	0xba87fdfb7080	3	-	0	False	2023-02-23 14:52:01.000000 	N/A
** 2676	672	ruby.exe	0xba87fe10d080	9	-	0	False	2023-02-23 14:52:01.000000 	N/A
** 1144	672	svchost.exe	0xba8800990540	5	-	0	False	2023-02-28 16:13:55.000000 	N/A
** 2684	672	svchost.exe	0xba87fe10a0c0	6	-	0	False	2023-02-23 14:52:01.000000 	N/A
** 1664	672	svchost.exe	0xba87fde06080	5	-	0	False	2023-02-23 14:52:01.000000 	N/A
** 2692	672	svchost.exe	0xba87fe10c080	16	-	0	False	2023-02-23 14:52:01.000000 	N/A
** 1164	672	svchost.exe	0xba87fdc692c0	2	-	0	False	2023-02-23 22:52:00.000000 	N/A
** 2700	672	svchost.exe	0xba87fe113080	3	-	0	False	2023-02-23 14:52:01.000000 	N/A
** 2188	672	svchost.exe	0xba87fe7a3080	6	-	0	False	2023-02-23 14:52:07.000000 	N/A
** 6796	672	svchost.exe	0xba87febf4540	8	-	0	False	2023-02-23 14:53:03.000000 	N/A
** 1680	672	svchost.exe	0xba87fde08080	3	-	0	False	2023-02-23 14:52:01.000000 	N/A
** 2708	672	wlms.exe	0xba87fe117080	2	-	0	False	2023-02-23 14:52:01.000000 	N/A
** 2716	672	svchost.exe	0xba87fe13d0c0	1	-	0	False	2023-02-23 14:52:01.000000 	N/A
** 1696	672	svchost.exe	0xba87fde1f080	4	-	0	False	2023-02-23 14:52:01.000000 	N/A
** 2724	672	svchost.exe	0xba87fe114080	15	-	0	False	2023-02-23 14:52:01.000000 	N/A
** 2732	672	svchost.exe	0xba87fe140080	5	-	0	False	2023-02-23 14:52:01.000000 	N/A
** 1204	672	svchost.exe	0xba87fdc81080	14	-	0	False	2023-02-23 22:52:00.000000 	N/A
*** 4176	1204	cmd.exe	0xba87fecae080	1	-	0	False	2023-02-23 14:54:04.000000 	N/A
**** 6548	4176	conhost.exe	0xba87fefe9080	4	-	0	False	2023-02-23 14:54:04.000000 	N/A
*** 6300	1204	cmd.exe	0xba87fdb5f540	1	-	0	False	2023-02-23 14:52:53.000000 	N/A
**** 3672	6300	conhost.exe	0xba87fdabf540	4	-	0	False	2023-02-23 14:52:53.000000 	N/A
*** 3684	1204	taskhostw.exe	0xba87fe751080	11	-	1	False	2023-02-23 14:52:07.000000 	N/A
